by,descendants,id,score,time,title,type,url,text,domain
NKosmatos,13,24533261,63,1600600088,"The seizure of the drugs on the Noor One, Europe’s largest heroin shipment",story,https://newrepublic.com/article/159252/vampire-ship,,newrepublic.com
bmcn2020,223,24513820,199,1600413018,Woman dies during a ransomware attack on a German hospital,story,https://www.theverge.com/2020/9/17/21443851/death-ransomware-attack-hospital-germany-cybersecurity,,theverge.com
axiomdata316,38,24513230,74,1600406034,A psychoanalytic reading of social media and the death drive,story,https://www.bookforum.com/print/2703/a-psychoanalytic-reading-of-social-media-and-the-death-drive-24171,,bookforum.com
AlexeyBrin,75,24533935,60,1600608807,Covid-19 Round 2 is Here,story,https://jacquesmattheij.com/2020-09-20-covid-19-round-2/,,jacquesmattheij.com
pseudolus,140,24499958,316,1600304001,Scientists say a mind-bending rhythm in the brain can act like ketamine,story,https://www.npr.org/sections/health-shots/2020/09/16/913565163/scientists-discover-way-to-induce-altered-state-of-mind-without-drugs,,npr.org
DyslexicAtheist,158,24509389,128,1600373560,The Russian vaccine for Covid-19,story,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30402-1/fulltext,,thelancet.com
signa11,187,24516275,181,1600434640,Study shows proof that a safer UV light effectively kills virus causing Covid-19,story,https://www.hiroshima-u.ac.jp/en/news/60119,,hiroshima-u.ac.jp
classichasclass,132,24499374,189,1600299442,"Google, nobody asked for a new Blogger interface",story,https://tenfourfox.blogspot.com/2020/08/google-nobody-asked-for-new-blogger.html,,tenfourfox.blogspot.com
bookofjoe,2,24527941,10,1600528517,Scientists find 'secret molecule' that allows bacteria to exhale electricity,story,https://www.livescience.com/electron-breathing-geobacter-microbes.html,,livescience.com
nradov,334,24504716,221,1600351347,Covid-19: Do many people have pre-existing immunity?,story,https://www.bmj.com/content/370/bmj.m3563,,bmj.com
brundolf,116,24505436,237,1600354856,My Favorite Rust Function Signature,story,https://www.brandonsmith.ninja/blog/favorite-rust-function,,brandonsmith.ninja
raybb,180,24494347,234,1600274372,Cory Doctorow is fighting back against Amazon's Audible,story,https://www.fastcompany.com/90549199/why-this-author-is-taking-a-stand-against-amazons-audiobook-monopoly,,fastcompany.com
Reedx,12,24511470,59,1600387632,The Most Likely Way You’ll Get Infected with Covid-19,story,https://elemental.medium.com/the-most-likely-way-youll-get-infected-with-covid-19-30430384e5a5,,elemental.medium.com
Sebastian_09,2,24504204,10,1600348487,Federated Learning for Drug Discovery,story,https://venturebeat.com/2020/09/17/major-pharma-companies-including-novartis-and-merck-build-federated-learning-platform-for-drug-discovery/,,venturebeat.com
sohkamyung,5,24498601,20,1600294333,Scientists use big data to sway elections and predict riots in the 1960s,story,https://www.nature.com/articles/d41586-020-02607-8,,nature.com
furcyd,12,24509470,43,1600373958,Patient dies after ransomware attack reroutes her to remote hospital,story,https://arstechnica.com/information-technology/2020/09/patient-dies-after-ransomware-attack-reroutes-her-to-remote-hospital/,,arstechnica.com
respinal,1,24523491,4,1600475733,Visby's portable Covid-19 test gets FDA approval,story,https://mobile.reuters.com/video/watch/id719317232,,mobile.reuters.com
brundolf,0,24496766,11,1600285511,"Whistleblower Alleges Medical Neglect, Hysterectomies of ICE Detainees",story,https://www.npr.org/2020/09/16/913398383/whistleblower-alleges-medical-neglect-questionable-hysterectomies-of-ice-detaine,,npr.org
apsec112,35,24512271,41,1600395304,Why it matters where COVID came from,story,https://threadreaderapp.com/thread/1306775734598250496.html,,threadreaderapp.com
mrfusion,0,24522009,22,1600464175,Vitamin D can help reduce coronavirus risk by 54%: Boston University doctor,story,https://www.bostonherald.com/2020/09/17/vitamin-d-can-help-reduce-coronavirus-risk-by-54-boston-university-doctor/,,bostonherald.com
kerng,12,24505183,24,1600353702,"German Hospital Hacked, Patient Taken to Another City Dies",story,https://www.securityweek.com/german-hospital-hacked-patient-taken-another-city-dies,,securityweek.com
shrutipathak,1,24506052,6,1600357563,Is software now everybody's job? The implications of low-code,story,https://www.zdnet.com/article/is-software-now-everybodys-job-the-implications-of-low-code-and-no-code-for-developers/,,zdnet.com
