by,descendants,id,score,time,title,type,url,text,domain
kiyanwang,0,24535144,55,1600620867,Communicating with Interactive Articles,story,https://distill.pub/2020/communicating-with-interactive-articles/,,distill.pub
ceejayoz,33,24534994,118,1600619873,Mortality Rates from Covid-19 Are Lower in Unionized Nursing Homes,story,https://www.healthaffairs.org/doi/full/10.1377/hlthaff.2020.01011,,healthaffairs.org
NKosmatos,40,24533261,120,1600600088,"The seizure of the drugs on the Noor One, Europe’s largest heroin shipment",story,https://newrepublic.com/article/159252/vampire-ship,,newrepublic.com
xingyzt,54,24531578,160,1600569338,2020 Ig Nobel Prize Winners,story,https://www.improbable.com/ig-about/winners/,,improbable.com
aaron-santos,9,24531654,15,1600571244,Experiment shows knives manufactured from frozen human feces do not work,story,https://www.sciencedirect.com/science/article/pii/S2352409X19305371?via%3Dihub,,sciencedirect.com
benbreen,0,24505781,29,1600356330,Experimental Imaging at the Birth of Modern Science,story,https://publicdomainreview.org/essay/more-lively-counterfaits,,publicdomainreview.org
tintinnabula,0,24525286,20,1600492225,Life and Breath: The human story of how ventilators came to breathe for us,story,https://aeon.co/essays/the-human-story-of-how-ventilators-came-to-breathe-for-us,,aeon.co
bmcn2020,227,24513820,201,1600413018,Woman dies during a ransomware attack on a German hospital,story,https://www.theverge.com/2020/9/17/21443851/death-ransomware-attack-hospital-germany-cybersecurity,,theverge.com
diodorus,52,24512316,104,1600395917,120k-year-old footprints offer early evidence for humans in Arabia,story,https://www.sciencemag.org/news/2020/09/these-120000-year-old-footprints-offer-early-evidence-humans-arabia,,sciencemag.org
Thevet,74,24525339,60,1600492819,Did our early ancestors boil their food in hot springs?,story,https://news.mit.edu/2020/early-human-hot-springs-food-0915,,news.mit.edu
axiomdata316,40,24513230,75,1600406034,A psychoanalytic reading of social media and the death drive,story,https://www.bookforum.com/print/2703/a-psychoanalytic-reading-of-social-media-and-the-death-drive-24171,,bookforum.com
pseudolus,140,24499958,318,1600304001,Scientists say a mind-bending rhythm in the brain can act like ketamine,story,https://www.npr.org/sections/health-shots/2020/09/16/913565163/scientists-discover-way-to-induce-altered-state-of-mind-without-drugs,,npr.org
DyslexicAtheist,162,24509389,128,1600373560,The Russian vaccine for Covid-19,story,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30402-1/fulltext,,thelancet.com
signa11,187,24516275,181,1600434640,Study shows proof that a safer UV light effectively kills virus causing Covid-19,story,https://www.hiroshima-u.ac.jp/en/news/60119,,hiroshima-u.ac.jp
bingden,50,24511326,18,1600386407,"Fanny Cradock, a lodestar in the foul-tasting odyssey of bad British food",story,https://www.theparisreview.org/blog/2020/09/16/the-off-kilter-history-of-british-cuisine/,,theparisreview.org
axiomdata316,6,24513237,46,1600406124,Visual artist Noelia Towers on being compelled to create [NSFW],story,https://thecreativeindependent.com/people/visual-artist-noelia-towers-on-being-compelled-to-create/,,thecreativeindependent.com
nradov,334,24504716,221,1600351347,Covid-19: Do many people have pre-existing immunity?,story,https://www.bmj.com/content/370/bmj.m3563,,bmj.com
brundolf,116,24505436,237,1600354856,My Favorite Rust Function Signature,story,https://www.brandonsmith.ninja/blog/favorite-rust-function,,brandonsmith.ninja
raybb,180,24494347,234,1600274372,Cory Doctorow is fighting back against Amazon's Audible,story,https://www.fastcompany.com/90549199/why-this-author-is-taking-a-stand-against-amazons-audiobook-monopoly,,fastcompany.com
Reedx,12,24511470,59,1600387632,The Most Likely Way You’ll Get Infected with Covid-19,story,https://elemental.medium.com/the-most-likely-way-youll-get-infected-with-covid-19-30430384e5a5,,elemental.medium.com
theafh,17,24504537,53,1600350414,How Renormalization Saved Particle Physics,story,https://www.quantamagazine.org/how-renormalization-saved-particle-physics-20200917/,,quantamagazine.org
blnqr,37,24494810,97,1600276624,Astrophysicists detect the strongest magnetic field in the universe,story,https://www.nanowerk.com/news2/space/newsid=56092.php,,nanowerk.com
twright,3,24527306,13,1600522413,The 2020 Ig Nobel Prize Winners,story,https://www.improbable.com/ig-about/winners/#ig2020,,improbable.com
AlexeyBrin,87,24533935,65,1600608807,Covid-19 Round 2 is Here,story,https://jacquesmattheij.com/2020-09-20-covid-19-round-2/,,jacquesmattheij.com
sohkamyung,5,24498601,20,1600294333,Scientists use big data to sway elections and predict riots in the 1960s,story,https://www.nature.com/articles/d41586-020-02607-8,,nature.com
furcyd,12,24509470,43,1600373958,Patient dies after ransomware attack reroutes her to remote hospital,story,https://arstechnica.com/information-technology/2020/09/patient-dies-after-ransomware-attack-reroutes-her-to-remote-hospital/,,arstechnica.com
brundolf,0,24496766,11,1600285511,"Whistleblower Alleges Medical Neglect, Hysterectomies of ICE Detainees",story,https://www.npr.org/2020/09/16/913398383/whistleblower-alleges-medical-neglect-questionable-hysterectomies-of-ice-detaine,,npr.org
apsec112,35,24512271,41,1600395304,Why it matters where COVID came from,story,https://threadreaderapp.com/thread/1306775734598250496.html,,threadreaderapp.com
kerng,12,24505183,24,1600353702,"German Hospital Hacked, Patient Taken to Another City Dies",story,https://www.securityweek.com/german-hospital-hacked-patient-taken-another-city-dies,,securityweek.com
mrfusion,0,24522009,22,1600464175,Vitamin D can help reduce coronavirus risk by 54%: Boston University doctor,story,https://www.bostonherald.com/2020/09/17/vitamin-d-can-help-reduce-coronavirus-risk-by-54-boston-university-doctor/,,bostonherald.com
harpreetsahota,3,24502962,36,1600338875,Become an Ultralearner – Scott H. Young on the Artists of Data Science Podcast,story,https://theartistsofdatascience.fireside.fm/scott-h-young,,theartistsofdatascience.fireside.fm
